id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,super_over,method,umpire1,umpire2
335982,2007/08,Bengaluru,18-04-2008,League,BB McCullum,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Kolkata Knight Riders,runs,140,N,,Asad Rauf,RE Koertzen
335983,2007/08,Chandigarh,19-04-2008,League,MEK Hussey,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33,N,,MR Benson,SL Shastri
335984,2007/08,Delhi,19-04-2008,League,MF Maharoof,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,wickets,9,N,,Aleem Dar,GA Pratapkumar
335985,2007/08,Mumbai,20-04-2008,League,MV Boucher,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Royal Challengers Bengaluru,wickets,5,N,,SJ Davis,DJ Harper
335986,2007/08,Kolkata,20-04-2008,League,DJ Hussey,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5,N,,BF Bowden,K Hariharan
335987,2007/08,Jaipur,21-04-2008,League,SR Watson,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,wickets,6,N,,Aleem Dar,RB Tiffin
335988,2007/08,Hyderabad,22-04-2008,League,V Sehwag,Rajiv Gandhi International Stadium,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,wickets,9,N,,IL Howell,AM Saheba
335989,2007/08,Chennai,23-04-2008,League,ML Hayden,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6,N,,DJ Harper,GA Pratapkumar
335990,2007/08,Hyderabad,24-04-2008,League,YK Pathan,Rajiv Gandhi International Stadium,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3,N,,Asad Rauf,MR Benson
335991,2007/08,Chandigarh,25-04-2008,League,KC Sangakkara,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,runs,66,N,,Aleem Dar,AM Saheba
335992,2007/08,Bengaluru,26-04-2008,League,SR Watson,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7,N,,MR Benson,IL Howell
335993,2007/08,Chennai,26-04-2008,League,JDP Oram,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9,N,,BF Bowden,AV Jayaprakash
335994,2007/08,Mumbai,27-04-2008,League,AC Gilchrist,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,10,N,,Asad Rauf,SL Shastri
335995,2007/08,Chandigarh,27-04-2008,League,SM Katich,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,Punjab Kings,wickets,4,N,,RE Koertzen,I Shivram
335996,2007/08,Bengaluru,28-04-2008,League,MS Dhoni,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,13,N,,BR Doctrove,RB Tiffin
335997,2007/08,Kolkata,29-04-2008,League,ST Jayasuriya,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,wickets,7,N,,BF Bowden,AV Jayaprakash
335998,2007/08,Delhi,30-04-2008,League,GD McGrath,Feroz Shah Kotla,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Delhi Capitals,runs,10,N,,Aleem Dar,I Shivram
335999,2007/08,Hyderabad,01-05-2008,League,SE Marsh,Rajiv Gandhi International Stadium,Deccan Chargers,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,7,N,,BR Doctrove,RB Tiffin
336000,2007/08,Jaipur,01-05-2008,League,SA Asnodkar,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,runs,45,N,,RE Koertzen,GA Pratapkumar
